tenure,MonthlyCharges,TotalCharges,Churn,PhoneService_Yes,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,Log_TotalCharges,Tenure_Charges
1,29.85,29.85,0,False,False,False,False,True,False,3.4291367503513968,29.85
34,56.95,1889.5,0,True,True,False,False,False,True,7.544596623330987,55.5735294117647
2,53.85,108.15,1,True,False,False,False,False,True,4.692723082995953,54.075
45,42.3,1840.75,0,False,True,False,False,False,False,7.518471485562923,40.90555555555556
2,70.7,151.65,1,True,False,False,False,True,False,5.028147719180887,75.825
8,99.65,820.5,1,True,False,False,False,True,False,6.711131937477322,102.5625
22,89.1,1949.4,0,True,False,False,True,False,False,7.575789758727007,88.60909090909091
10,29.75,301.9,0,False,False,False,False,False,True,5.713402718033191,30.189999999999998
28,104.8,3046.05,1,True,False,False,False,True,False,8.02192918843427,108.78750000000001
62,56.15,3487.95,0,True,True,False,False,False,False,8.15735611033029,56.25725806451613
13,49.95,587.45,0,True,False,False,False,False,True,6.377491961323671,45.18846153846154
16,18.95,326.8,0,True,False,True,True,False,False,5.792403666309729,20.425
58,100.35,5681.1,0,True,True,False,True,False,False,8.645076161696084,97.95
49,103.7,5036.3,1,True,False,False,False,False,False,8.524625503233533,102.78163265306122
25,105.5,2686.05,0,True,False,False,False,True,False,7.8961992165555,107.44200000000001
69,113.25,7895.15,0,True,False,True,True,False,False,8.974130577893364,114.42246376811593
52,20.65,1022.95,0,True,True,False,False,False,True,6.931422976282321,19.672115384615385
71,106.7,7382.25,0,True,False,True,False,False,False,8.906969200059761,103.97535211267606
10,55.2,528.35,1,True,False,False,True,False,False,6.271649838789389,52.835
21,90.05,1862.9,0,True,False,False,False,True,False,7.530426345737758,88.70952380952382
1,39.65,39.65,1,False,False,False,False,True,False,3.7049988359938197,39.65
12,19.8,202.25,0,True,True,False,False,False,False,5.31443674842792,16.854166666666668
1,20.15,20.15,1,True,False,False,False,False,True,3.0516399054922867,20.15
58,59.9,3505.1,0,True,False,True,True,False,False,8.16225958760722,60.432758620689654
49,59.6,2970.3,0,True,False,False,True,False,False,7.996754846467186,60.61836734693878
30,55.3,1530.6,0,True,False,False,False,False,False,7.3340682196031395,51.019999999999996
47,99.35,4749.15,1,True,False,False,False,True,False,8.46593147547745,101.04574468085106
1,30.2,30.2,1,False,False,False,False,True,False,3.4404180948154366,30.2
72,90.25,6369.45,0,True,False,True,True,False,False,8.759425389713137,88.46458333333334
17,64.7,1093.1,1,True,False,False,False,False,True,6.9976873864827445,64.3
71,96.35,6766.95,0,True,False,True,True,False,False,8.819953513551914,95.30915492957746
2,95.5,181.65,0,True,False,False,True,False,False,5.207571753241291,90.825
27,66.15,1874.45,0,True,True,False,False,False,True,7.536603909609118,69.42407407407407
1,20.2,20.2,0,True,False,False,False,False,False,3.054001181677967,20.2
1,45.25,45.25,0,True,False,False,False,False,False,3.834061463958434,45.25
